Nama Parfum,Brand atau Produsen,Jenis,Kategori Aroma,Top Notes,Middle Notes,Base Notes,Kekuatan Aroma,Daya Tahan,Musim atau Cuaca,Harga,Ukuran Botol
Boss The Scent Private Accord,Hugo Boss,EDP,Oriental Fruity,Coffee,Cocoa,Vanilla,Kuat,Lama,Malam Hari,Rp1.800.000,100ml
Libre Intense,Yves Saint Laurent,EDP,Floral Oriental,Lavender,Orange Blossom,Vanilla,Sangat Kuat,Sangat Lama,Semua Musim,Rp2.200.000,50ml
Spicebomb Extreme,Viktor & Rolf,EDP,Oriental Spicy,Black Pepper,Lavender,Tobacco,Sangat Kuat,Sangat Lama,Musim Dingin,Rp2.000.000,90ml
My Way,Giorgio Armani,EDP,Floral,Orange Blossom,Tuberose,Vanilla,Kuat,Lama,Semua Musim,Rp2.100.000,90ml
Twilly d'Hermès,Hermès,EDP,Floral Spicy,Ginger,Tuberose,Sandalwood,Sedang,Sedang,Musim Semi,Rp2.000.000,85ml
Ombré Leather Parfum,Tom Ford,Parfum,Leather,Violet Leaf,Jasmine,Leather,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.200.000,100ml
Invictus Victory,Paco Rabanne,EDP,Oriental Woody,Lemon,Lavender,Amber,Kuat,Lama,Semua Musim,Rp1.800.000,100ml
Gucci Flora Gorgeous Gardenia,Gucci,EDP,Floral Fruity,Pear,Gardenia,Patchouli,Kuat,Lama,Musim Semi,Rp2.000.000,100ml
Dior Joy,Dior,EDP,Floral Woody,Bergamot,Rose,Sandalwood,Kuat,Lama,Musim Semi,Rp2.300.000,90ml
Le Male Le Parfum,Jean Paul Gaultier,EDP,Oriental Fougere,Cardamom,Lavender,Vanilla,Sangat Kuat,Sangat Lama,Malam Hari,Rp1.900.000,125ml
Idôle L'Intense,Lancôme,EDP,Floral Chypre,Bergamot,Rose,Vanilla,Kuat,Lama,Semua Musim,Rp2.000.000,50ml
Y Eau Fraîche,Yves Saint Laurent,EDT,Aromatic Fougere,Lemon,Geranium,Cedar,Sedang,Sedang,Musim Panas,Rp1.600.000,100ml
Nomade Absolu,Chloé,EDP,Chypre Floral,Mirabelle,Jasmine,Oak Moss,Kuat,Lama,Musim Gugur,Rp2.100.000,75ml
Stronger With You Intensely,Emporio Armani,EDP,Oriental Spicy,Pink Pepper,Vanilla,Suede,Kuat,Lama,Musim Dingin,Rp1.800.000,100ml
Mon Guerlain Intense,Guerlain,EDP,Oriental Woody,Lavender,Jasmine,Vanilla,Sangat Kuat,Sangat Lama,Malam Hari,Rp2.200.000,50ml
Acqua di Parma Sandalo,Acqua di Parma,EDP,Woody Spicy,Bergamot,Lavender,Sandalwood,Kuat,Lama,Musim Dingin,Rp2.500.000,100ml
Narciso Rodriguez Pure Musc,Narciso Rodriguez,EDP,Floral Woody Musk,Cashmeran,Jasmine,Musk,Kuat,Lama,Semua Musim,Rp1.900.000,50ml
Valentino Uomo Intense,Valentino,EDP,Oriental Leather,Mandarin,Iris,Leather,Kuat,Lama,Musim Dingin,Rp2.000.000,100ml
Coco Noir,Chanel,EDP,Oriental Floral,Grapefruit,Rose,Patchouli,Kuat,Lama,Malam Hari,Rp2.400.000,50ml
Armani Prive Rose d'Arabie,Giorgio Armani,EDP,Oriental Floral,Saffron,Rose,Patchouli,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.500.000,100ml
Gucci Bloom Ambrosia di Fiori,Gucci,EDP,Floral,Jasmine,Tuberose,Orris,Sangat Kuat,Sangat Lama,Musim Semi,Rp2.300.000,100ml
Dior Homme Parfum,Dior,Parfum,Woody Leather,Iris,Leather,Cedar,Sangat Kuat,Sangat Lama,Musim Dingin,Rp2.800.000,75ml
Mugler Angel Muse,Mugler,EDP,Oriental Gourmand,Grapefruit,Hazelnut Cream,Vetiver,Kuat,Lama,Musim Dingin,Rp2.000.000,50ml
Versace Dylan Blue Pour Femme,Versace,EDP,Floral Fruity,Blackcurrant,Jasmine,Patchouli,Kuat,Lama,Semua Musim,Rp1.800.000,100ml
Creed Aventus Cologne,Creed,EDC,Fruity Woody,Ginger,Pineapple,Birch,Kuat,Lama,Musim Panas,Rp5.500.000,100ml
Maison Margiela Jazz Club,Maison Margiela,EDT,Oriental Woody,Rum,Vanilla,Tobacco,Kuat,Lama,Malam Hari,Rp2.200.000,100ml
Byredo Gypsy Water,Byredo,EDP,Woody Aromatic,Bergamot,Incense,Vanilla,Sedang,Sedang,Semua Musim,Rp3.000.000,50ml
Kilian Angels' Share,Kilian,EDP,Oriental Vanilla,Cognac,Cinnamon,Oak,Sangat Kuat,Sangat Lama,Musim Dingin,Rp4.500.000,50ml
Frederic Malle Portrait of a Lady,Frederic Malle,EDP,Oriental Floral,Rose,Patchouli,Incense,Sangat Kuat,Sangat Lama,Musim Dingin,Rp5.000.000,100ml
Jo Malone Wood Sage & Sea Salt,Jo Malone,EDC,Woody Aromatic,Ambrette Seeds,Sea Salt,Sage,Ringan,Pendek,Musim Panas,Rp2.000.000,100ml
Diptyque Do Son,Diptyque,EDT,Floral,Tuberose,Orange Leaves,Musk,Sedang,Sedang,Musim Semi,Rp2.500.000,100ml
Serge Lutens La Fille de Berlin,Serge Lutens,EDP,Floral Woody,Rose,Violet,Musk,Kuat,Lama,Musim Semi,Rp3.200.000,50ml
Amouage Reflection Man,Amouage,EDP,Woody Floral Musk,Rosemary,Jasmine,Sandalwood,Sangat Kuat,Sangat Lama,Semua Musim,Rp4.000.000,100ml
Parfums de Marly Delina,Parfums de Marly,EDP,Floral Fruity,Lychee,Turkish Rose,Vanilla,Kuat,Lama,Musim Semi,Rp3.800.000,75ml
Xerjoff Naxos,Xerjoff,EDP,Oriental Vanilla,Lavender,Tobacco,Honey,Sangat Kuat,Sangat Lama,Musim Dingin,Rp4.500.000,100ml
Penhaligon's The Tragedy of Lord George,Penhaligon's,EDP,Woody Aromatic,Brandy,Shaving Soap,Tonka Bean,Kuat,Lama,Musim Dingin,Rp3.500.000,75ml
Memo Paris Irish Leather,Memo Paris,EDP,Leather,Juniper,Mate,Leather,Kuat,Lama,Musim Gugur,Rp3.800.000,75ml
Juliette Has a Gun Not a Perfume,Juliette Has a Gun,EDP,Woody Musk,Ambroxan,,,Sedang,Lama,Semua Musim,Rp2.200.000,100ml
Atelier Cologne Orange Sanguine,Atelier Cologne,EDC,Citrus Aromatic,Blood Orange,Jasmine,Sandalwood,Sedang,Sedang,Musim Panas,Rp2.500.000,100ml
Tiziana Terenzi Kirke,Tiziana Terenzi,EDP,Floral Fruity,Passion Fruit,Jasmine,White Musk,Kuat,Lama,Musim Panas,Rp3.200.000,100ml
Mancera Cedrat Boise,Mancera,EDP,Woody Aromatic,Lemon,Patchouli,Cedar,Kuat,Lama,Semua Musim,Rp2.800.000,120ml
Nasomatto Black Afgano,Nasomatto,Extrait de Parfum,Woody Aromatic,Cannabis,Coffee,Incense,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.500.000,30ml
Roja Dove Elysium,Roja Dove,Parfum Cologne,Citrus Aromatic,Lemon,Vetiver,Ambergris,Kuat,Lama,Musim Panas,Rp5.500.000,100ml
Initio Oud for Greatness,Initio,EDP,Oriental Woody,Saffron,Oud,Nutmeg,Sangat Kuat,Sangat Lama,Musim Dingin,Rp4.200.000,90ml
Maison Francis Kurkdjian Baccarat Rouge 540,Maison Francis Kurkdjian,EDP,Oriental Floral,Saffron,Jasmine,Cedar,Sangat Kuat,Sangat Lama,Semua Musim,Rp5.000.000,70ml
Le Labo Santal 33,Le Labo,EDP,Woody Aromatic,Cardamom,Iris,Sandalwood,Kuat,Lama,Semua Musim,Rp3.800.000,100ml
Zoologist Tyrannosaurus Rex,Zoologist,EDP,Woody Spicy,Black Pepper,Frankincense,Leather,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.500.000,60ml
Nishane Hacivat,Nishane,EDP,Woody Fruity,Pineapple,Cedar,Patchouli,Kuat,Lama,Semua Musim,Rp3.200.000,100ml
Vilhelm Parfumerie Morning Chess,Vilhelm Parfumerie,EDP,Leather Woody,Bergamot,Leather,Patchouli,Kuat,Lama,Musim Gugur,Rp3.000.000,100ml
Eight & Bob Original,Eight & Bob,EDP,Woody Spicy,Cardamom,Lemon,Cedar,Sedang,Sedang,Semua Musim,Rp2.800.000,100ml
Acqua di Parma Blu Mediterraneo Fico di Amalfi,Acqua di Parma,EDT,Fruity Aromatic,Fig,Lemon,Cedar,Sedang,Sedang,Musim Panas,Rp1.800.000,150ml
Histoires de Parfums 1899 Hemingway,Histoires de Parfums,EDP,Spicy Oriental,Juniper,Vanilla,Vetiver,Kuat,Lama,Musim Dingin,Rp2.500.000,60ml
Montale Intense Cafe,Montale,EDP,Oriental Vanilla,Coffee,Rose,Vanilla,Sangat Kuat,Sangat Lama,Musim Dingin,Rp2.200.000,100ml
Etat Libre d'Orange You or Someone Like You,Etat Libre d'Orange,EDP,Aromatic Green,Mint,Rose,Musk,Sedang,Sedang,Musim Panas,Rp2.000.000,100ml
Profumum Roma Acqua di Sale,Profumum Roma,EDP,Aquatic Aromatic,Sea Salt,Cedar,Incense,Kuat,Lama,Musim Panas,Rp3.800.000,100ml
Amouage Interlude Man,Amouage,EDP,Oriental Woody,Oregano,Incense,Leather,Sangat Kuat,Sangat Lama,Musim Dingin,Rp4.500.000,100ml
Parfums de Marly Layton,Parfums de Marly,EDP,Oriental Woody,Apple,Jasmine,Vanilla,Kuat,Lama,Musim Dingin,Rp3.500.000,125ml
Xerjoff Nio,Xerjoff,EDP,Citrus Aromatic,Bergamot,Neroli,Cedar,Kuat,Lama,Musim Panas,Rp5.000.000,50ml
Creed Viking,Creed,EDP,Aromatic Fougere,Pink Pepper,Rose,Sandalwood,Kuat,Lama,Musim Dingin,Rp5.200.000,100ml
Maison Margiela By the Fireplace,Maison Margiela,EDT,Woody Spicy,Pink Pepper,Chestnut,Vanilla,Kuat,Lama,Musim Dingin,Rp2.200.000,100ml
Byredo Mojave Ghost,Byredo,EDP,Woody Floral Musk,Ambrette,Magnolia,Sandalwood,Sedang,Sedang,Semua Musim,Rp3.000.000,50ml
Kilian Black Phantom,Kilian,EDP,Oriental Gourmand,Rum,Coffee,Caramel,Sangat Kuat,Sangat Lama,Musim Dingin,Rp4.800.000,50ml
Frederic Malle Musc Ravageur,Frederic Malle,EDP,Oriental Spicy,Lavender,Cinnamon,Vanilla,Sangat Kuat,Sangat Lama,Musim Dingin,Rp5.500.000,100ml
Jo Malone English Pear & Freesia,Jo Malone,EDC,Fruity Floral,Pear,Freesia,Patchouli,Ringan,Pendek,Musim Semi,Rp2.000.000,100ml
Diptyque Philosykos,Diptyque,EDT,Woody Aromatic,Fig Leaf,Coconut,Cedar,Sedang,Sedang,Musim Panas,Rp2.500.000,100ml
Serge Lutens Chergui,Serge Lutens,EDP,Oriental Spicy,Honey,Musk,Tobacco,Kuat,Lama,Musim Dingin,Rp3.200.000,50ml
Amouage Lyric Woman,Amouage,EDP,Oriental Floral,Rose,Frankincense,Vanilla,Sangat Kuat,Sangat Lama,Musim Dingin,Rp4.200.000,100ml
Parfums de Marly Pegasus,Parfums de Marly,EDP,Oriental Fougere,Almond,Lavender,Vanilla,Kuat,Lama,Musim Dingin,Rp3.800.000,125ml
Xerjoff Lira,Xerjoff,EDP,Oriental Vanilla,Blood Orange,Jasmine,Caramel,Sangat Kuat,Sangat Lama,Musim Dingin,Rp5.500.000,100ml
Penhaligon's Halfeti,Penhaligon's,EDP,Woody Floral Musk,Grapefruit,Rose,Oud,Kuat,Lama,Musim Dingin,Rp3.500.000,100ml
Memo Paris Marfa,Memo Paris,EDP,Woody Aromatic,Orange Blossom,Tuberose,Sandalwood,Kuat,Lama,Musim Panas,Rp3.800.000,75ml
Juliette Has a Gun Lady Vengeance,Juliette Has a Gun,EDP,Chypre Floral,Rose,Patchouli,Vanilla,Kuat,Lama,Semua Musim,Rp2.200.000,100ml
Atelier Cologne Vanille Insensée,Atelier Cologne,EDC,Oriental Woody,Lime,Jasmine,Vanilla,Kuat,Lama,Musim Dingin,Rp2.500.000,100ml
Tiziana Terenzi Orion,Tiziana Terenzi,EDP,Oriental Woody,Bergamot,Jasmine,Oud,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.500.000,100ml
Mancera Roses Vanille,Mancera,EDP,Oriental Vanilla,Rose,Vanilla,Cedar,Kuat,Lama,Musim Dingin,Rp2.800.000,120ml
Nasomatto Pardon,Nasomatto,Extrait de Parfum,Oriental Woody,Oud,Magnolia,Dark Chocolate,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.500.000,30ml
Roja Dove Enigma,Roja Dove,Parfum,Oriental Fougere,Bergamot,Geranium,Tobacco,Sangat Kuat,Sangat Lama,Musim Dingin,Rp6.000.000,50ml
Initio Side Effect,Initio,EDP,Oriental Vanilla,Tobacco,Rum,Vanilla,Sangat Kuat,Sangat Lama,Musim Dingin,Rp4.200.000,90ml
Maison Francis Kurkdjian Grand Soir,Maison Francis Kurkdjian,EDP,Oriental Vanilla,Benzoin,Amber,Vanilla,Sangat Kuat,Sangat Lama,Musim Dingin,Rp5.000.000,70ml
Le Labo Another 13,Le Labo,EDP,Woody Musk,Ambroxan,Jasmine,Moss,Kuat,Lama,Semua Musim,Rp3.800.000,100ml
Zoologist Bat,Zoologist,EDP,Fruity Earthy,Banana,Soil Tincture,Leather,Kuat,Lama,Malam Hari,Rp3.500.000,60ml
Nishane Ani,Nishane,EDP,Oriental Vanilla,Bergamot,Green Notes,Vanilla,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.200.000,100ml
Vilhelm Parfumerie Poets of Berlin,Vilhelm Parfumerie,EDP,Oriental Vanilla,Lemon,Blueberry,Vanilla,Kuat,Lama,Musim Dingin,Rp3.000.000,100ml
Eight & Bob Egypt,Eight & Bob,EDP,Woody Spicy,Lavender,Moss,Leather,Kuat,Lama,Musim Gugur,Rp2.800.000,100ml
